Year,Month,Month End,California,Florida,Texas,New York,Washington,US
2020,1,1/31/20,3.5,3.0,3.5,4.1,3.7,3.6
2020,2,2/29/20,3.6,3.0,3.6,4.1,3.8,3.5
2020,3,3/31/20,5.0,4.1,5.0,4.2,5.2,4.4
2020,4,4/30/20,12.8,13.4,12.8,15.6,16.7,14.8
2020,5,5/31/20,11.6,14.2,11.6,16.7,13.4,13.2
2020,6,6/30/20,10.1,11.8,10.1,13.6,11.5,11.0
2020,7,7/31/20,9.3,11.8,9.3,12.5,10.4,10.2
2020,8,8/31/20,8.1,8.8,8.1,10.8,8.8,8.4
2020,9,9/30/20,7.7,8.1,7.7,10.2,8.1,7.8
2020,10,10/31/20,7.1,7.1,7.1,9.2,7.2,6.8
2020,11,11/30/20,7.0,6.6,7.0,9.0,6.9,6.7
2020,12,12/31/20,6.9,6.4,6.9,8.7,6.7,6.7
2021,1,1/31/21,6.7,5.9,6.7,8.6,6.4,6.4
2021,2,2/28/21,6.6,5.6,6.6,8.4,6.2,6.2
2021,3,3/31/21,6.4,5.4,6.4,8.1,6.0,6.1
2021,4,4/30/21,6.2,5.2,6.2,7.9,5.7,6.1
2021,5,5/31/21,6.0,4.9,6.0,7.5,5.5,5.8
2021,6,6/30/21,5.8,4.9,5.8,7.5,5.4,5.9
2021,7,7/31/21,5.6,4.6,5.6,7.0,5.2,5.4
2021,8,8/31/21,5.3,4.4,5.3,6.8,5.0,5.1
2021,9,9/30/21,5.1,4.1,5.1,6.3,4.7,4.7
2021,10,10/31/21,4.9,3.9,4.9,5.9,4.5,4.5
2021,11,11/30/21,4.6,3.8,4.6,5.6,4.2,4.1
2021,12,12/31/21,4.5,3.6,4.5,5.5,4.1,3.9
2022,1,1/31/22,4.3,3.5,4.3,5.2,4.0,4.0
2022,2,2/28/22,4.1,3.3,4.1,4.8,4.0,3.8
2022,3,3/31/22,3.9,3.2,3.9,4.6,3.9,3.6
2022,4,4/30/22,3.8,3.1,3.8,4.4,3.9,3.7
2022,5,5/31/22,3.8,3.0,3.8,4.3,3.9,3.6
2022,6,6/30/22,3.8,2.9,3.8,4.2,4.0,3.6
2022,7,7/31/22,3.8,2.8,3.8,4.0,4.0,3.5
2022,8,8/31/22,3.8,2.8,3.8,3.9,4.1,3.6
2022,9,9/30/22,3.9,2.8,3.9,4.0,4.2,3.5
2022,10,10/31/22,4.0,2.9,4.0,4.1,4.3,3.6
2022,11,11/30/22,4.0,2.8,4.0,4.2,4.3,3.6
2022,12,12/31/22,4.1,2.8,4.1,4.2,4.2,3.5
2023,1,1/31/23,4.1,2.8,4.1,4.1,4.1,3.4
2023,2,2/28/23,4.0,2.8,4.0,4.0,4.0,3.6
2023,3,3/31/23,4.0,2.8,4.0,4.0,3.9,3.5
2023,4,4/30/23,4.0,2.7,4.0,3.9,3.8,3.4
2023,5,5/31/23,4.0,2.8,4.0,3.9,3.8,3.7
2023,6,6/30/23,3.9,2.8,3.9,4.0,3.8,3.6
2023,7,7/31/23,3.9,2.9,3.9,4.1,3.9,3.5
2023,8,8/31/23,3.9,3.0,3.9,4.3,4.1,3.8
2023,9,9/30/23,3.9,3.0,3.9,4.4,4.3,3.8
2023,10,10/31/23,3.9,3.1,3.9,4.6,4.4,3.8
2023,11,11/30/23,3.9,3.1,3.9,4.6,4.4,3.7
2023,12,12/31/23,3.9,3.1,3.9,4.6,4.4,3.7